City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuuk,64.1835,-51.7216,-4.66,93,45,5.66,GL,1708049042
1,ribeira grande,38.5167,-28.7,17.65,96,100,8.49,PT,1708049072
2,san patricio,28.017,-97.5169,20.65,89,100,2.56,US,1708049145
3,campos dos goytacazes,-21.75,-41.3,22.46,96,82,1.88,BR,1708049441
4,bredasdorp,-34.5322,20.0403,16.26,65,80,7.11,ZA,1708049048
5,itacare,-14.2775,-38.9967,26.18,89,73,2.89,BR,1708049442
6,utrik,11.2278,169.8474,25.92,80,99,10.4,MH,1708049034
7,iskateley,67.6803,53.1512,-21.66,88,14,4.02,RU,1708049082
8,isangel,-19.55,169.2667,28.51,79,21,9.66,VU,1708049268
9,lebu,-37.6167,-73.65,13.49,93,59,0.3,CL,1708049051
10,yemetsk,63.4721,41.7941,-14.49,93,100,3.77,RU,1708049446
11,yellowknife,62.456,-114.3525,-17.55,95,20,0.0,CA,1708048800
12,enoch,37.7733,-113.0244,5.26,62,0,0.0,US,1708049447
13,port-aux-francais,-49.35,70.2167,8.91,88,95,15.46,TF,1708049054
14,bilibino,68.0546,166.4372,-34.22,96,27,0.38,RU,1708049087
15,sinabang,2.4803,96.3801,27.69,80,100,1.44,ID,1708049156
16,tiksi,71.6872,128.8694,-33.38,100,100,1.15,RU,1708049028
17,edinburgh of the seven seas,-37.0676,-12.3116,17.58,80,7,6.81,SH,1708049045
18,lompoc,34.6391,-120.4579,15.08,91,75,5.14,US,1708049262
19,haiku-pauwela,20.9219,-156.3051,19.54,92,100,6.69,US,1708049453
20,masterton,-40.9597,175.6575,25.61,31,11,1.55,NZ,1708049438
21,hermanus,-34.4187,19.2345,13.78,70,78,7.78,ZA,1708049084
22,tain-l'hermitage,45.0713,4.8371,12.19,87,100,3.47,FR,1708049455
23,ilulissat,69.2167,-51.1,-19.99,50,20,1.03,GL,1708049116
24,sitka,57.0531,-135.33,5.94,61,0,2.06,US,1708049180
25,tazacorte,28.629,-17.9293,18.54,84,75,4.12,ES,1708049157
26,la passe,45.5549,-0.8967,13.13,95,100,5.14,FR,1708049021
27,batouri,4.4333,14.3667,22.51,31,98,0.35,CM,1708049459
28,waitangi,-43.9535,-176.5597,19.34,96,100,8.63,NZ,1708049032
29,spring creek,40.7266,-115.5859,2.16,81,99,1.79,US,1708049461
30,invercargill,-46.4,168.35,19.45,60,3,6.26,NZ,1708049108
31,kodiak,57.79,-152.4072,3.73,87,100,12.35,US,1708049131
32,adamstown,-25.066,-130.1015,25.19,82,4,3.85,PN,1708049033
33,blackmans bay,-43.0167,147.3167,22.51,48,23,1.34,AU,1708049026
34,yeniseysk,58.4497,92.1703,-26.37,97,100,1.94,RU,1708049464
35,devonport,-41.1667,146.35,21.16,58,5,4.64,AU,1708049465
36,albany,42.6001,-73.9662,-1.26,85,100,1.34,US,1708049465
37,rio brilhante,-21.8019,-54.5464,24.14,82,49,2.76,BR,1708049466
38,sandpoint,48.2766,-116.5533,-1.71,65,100,6.17,US,1708049467
39,vadso,70.0744,29.7487,-8.91,86,100,7.72,NO,1708049070
40,cartagena,10.3997,-75.5144,27.79,83,75,4.63,CO,1708049105
41,grytviken,-54.2811,-36.5092,2.54,79,48,8.68,GS,1708049066
42,olonkinbyen,70.9221,-8.7187,-9.89,59,68,10.05,SJ,1708049116
43,sept-iles,50.2001,-66.3821,-13.94,82,1,3.13,CA,1708049470
44,sabang,5.8933,95.3214,28.18,77,100,8.17,ID,1708049471
45,kapuskasing,49.4169,-82.4331,-5.0,86,100,8.23,CA,1708049104
46,simrishamn,55.5565,14.3504,8.53,100,100,5.79,SE,1708049472
47,hegang,47.4,130.3667,-13.1,77,97,1.97,CN,1708049473
48,nagqu,31.5,92.0,-11.27,21,0,1.69,CN,1708049474
49,flying fish cove,-10.4217,105.6791,28.82,74,19,2.57,CX,1708049192
50,isafjordur,66.0755,-23.124,-9.67,76,43,1.37,IS,1708049160
51,huayin,34.5675,110.0921,9.72,39,0,0.62,CN,1708049476
52,klyuchi,52.2667,79.1667,-26.06,89,100,4.42,RU,1708049040
53,ancud,-41.8697,-73.8203,13.82,94,100,2.63,CL,1708049206
54,polyarnyy,69.1989,33.4478,-16.8,98,37,6.49,RU,1708049118
55,nueva gerona,21.8833,-82.8,23.91,85,98,3.06,CU,1708049479
56,hawaiian paradise park,19.5933,-154.9731,25.02,78,45,0.89,US,1708048841
57,alaghsas,17.0187,8.0168,19.88,16,0,6.5,NE,1708049481
58,sant lluis,39.8526,4.2594,13.22,100,75,3.09,ES,1708049482
59,papatowai,-46.5619,169.4708,19.32,47,4,5.58,NZ,1708049076
60,coquimbo,-29.9533,-71.3436,18.53,87,37,1.29,CL,1708049374
61,atafu village,-8.5421,-172.5159,28.54,80,100,10.18,TK,1708049099
62,new smyrna beach,29.0258,-80.927,18.43,83,40,2.06,US,1708049291
63,ambovombe,-25.1667,46.0833,23.04,78,21,2.2,MG,1708049486
64,hobyo,5.3505,48.5268,26.46,78,46,7.23,SO,1708049179
65,kachug,53.9606,105.8817,-15.81,85,100,2.09,RU,1708049487
66,dingzhou,38.5131,114.9956,4.69,51,0,1.81,CN,1708049488
67,maicao,11.3832,-72.2432,26.45,80,83,6.65,CO,1708049473
68,saint-pierre,-21.3393,55.4781,25.82,78,0,1.03,RE,1708049109
69,longyearbyen,78.2186,15.6401,-4.09,74,75,7.72,SJ,1708049024
70,pitkyaranta,61.5734,31.4792,-9.16,97,100,4.19,RU,1708049491
71,st. john's,47.5649,-52.7093,0.93,97,100,5.36,CA,1708049264
72,wailua homesteads,22.0669,-159.378,24.24,58,100,5.66,US,1708049084
73,port mathurin,-19.6833,63.4167,26.97,85,100,12.61,MU,1708049132
74,hami,42.8,93.45,1.76,31,100,2.09,CN,1708049275
75,stanley,54.868,-1.6985,9.18,94,40,3.09,GB,1708049052
76,iqaluit,63.7506,-68.5145,-17.15,71,75,4.63,CA,1708049080
77,lata,40.1629,-8.3327,11.62,98,100,0.87,PT,1708049181
78,saipan,15.1355,145.701,29.39,70,40,8.23,MP,1708049060
79,minas de marcona,-15.2119,-75.1103,19.41,83,100,5.55,PE,1708049228
80,port shepstone,-30.7414,30.455,21.68,76,100,9.06,ZA,1708049498
81,hasaki,35.7333,140.8333,12.22,52,100,10.89,JP,1708049498
82,tezu,27.9167,96.1667,20.06,46,0,0.39,IN,1708049499
83,paradip garh,20.3167,86.6167,22.44,68,0,3.97,IN,1708049038
84,santana do matos,-5.9575,-36.6556,26.29,83,100,1.49,BR,1708049500
85,la ronge,55.1001,-105.2842,-18.88,71,100,1.03,CA,1708049358
86,keflavik,64.0049,-22.5624,0.95,100,75,4.12,IS,1708049054
87,padang,-0.9492,100.3543,29.03,93,100,2.06,ID,1708049502
88,saint-joseph,-21.3667,55.6167,24.21,87,51,4.78,RE,1708049503
89,nykarleby,63.5228,22.5307,0.01,96,100,2.13,FI,1708049504
90,ola,59.5833,151.2833,-22.7,92,100,4.88,RU,1708049088
91,kavaratti,10.5669,72.642,27.95,74,94,4.68,IN,1708049198
92,aykhal,66.0,111.5,-33.3,100,100,3.47,RU,1708049506
93,srivardhan,18.0333,73.0167,23.89,51,0,1.16,IN,1708049507
